600     4984.39	1.06183
601     4981.97	1.06194
602     4981.97	1.06205
603     4981.97	1.06215
604     4981.97	1.06226
605     4981.97	1.06236
606     4981.97	1.06247
607     4981.97	1.06258
608     4981.97	1.06268
609     4981.97	1.06279
610     4981.97	1.0629
611     4981.97	1.063
612     4981.97	1.06311
613     4981.97	1.06321
614     4981.97	1.06332
615     4981.97	1.06343
616     4981.97	1.06353
617     4981.97	1.06364
618     4981.97	1.06375
619     4981.97	1.06385
620     4981.97	1.06396
621     4981.97	1.06407
622     4981.97	1.06417
623     4981.97	1.06428
624     4981.97	1.06438
625     4981.97	1.06449
626     4981.97	1.0646
627     4981.97	1.0647
628     4981.97	1.06481
629     4981.97	1.06492
630     4981.97	1.06502
631     4981.97	1.06513
632     4981.97	1.06524
633     4981.97	1.06534
634     4981.97	1.06545
635     4981.97	1.06556
636     4981.97	1.06566
637     4981.97	1.06577
638     4981.97	1.06588
639     4981.97	1.06598
640     4981.97	1.06609
641     4981.97	1.0662
642     4981.97	1.0663
643     4981.97	1.06641
644     4981.97	1.06652
645     4981.97	1.06662
646     4981.97	1.06673
647     4981.97	1.06684
648     4981.97	1.06694
649     4981.97	1.06705
650     4981.97	1.06716
651     4981.97	1.06726
652     4981.97	1.06737
653     4981.97	1.06748
654     4981.97	1.06758
655     4981.97	1.06769
656     4981.97	1.0678
657     4981.97	1.0679
658     4981.97	1.06801
659     4981.97	1.06812
660     4981.97	1.06822
661     4981.97	1.06833
662     4981.97	1.06844
663     4981.97	1.06854
664     4981.97	1.06865
665     4981.97	1.06876
666     4981.97	1.06886
667     4981.97	1.06897
668     4981.97	1.06908
669     4981.97	1.06918
670     4981.97	1.06929
671     4981.97	1.0694
672     4981.97	1.06951
673     4981.97	1.06961
674     4981.97	1.06972
675     4981.97	1.06983
676     4981.97	1.06993
677     4981.97	1.07004
678     4981.97	1.07015
679     4981.97	1.07025
680     4981.97	1.07036
681     4981.97	1.07047
682     4981.97	1.07058
683     4981.97	1.07068
684     4981.97	1.07079
685     4981.97	1.0709
686     4981.97	1.071
687     4981.97	1.07111
688     4981.97	1.07122
689     4981.97	1.07133
690     4981.97	1.07143
691     4981.97	1.07154
692     4981.97	1.07165
693     4981.97	1.07175
694     4981.97	1.07186
695     4981.97	1.07197
696     4981.97	1.07208
697     4981.97	1.07218
698     4981.97	1.07229
699     4981.97	1.0724
700     4981.97	1.0725
701     4981.97	1.07261
702     4981.97	1.07272
703     4981.97	1.07283
704     4981.97	1.07293
705     4981.97	1.07304
706     4981.97	1.07315
707     4981.97	1.07326
708     4981.97	1.07336
709     4981.97	1.07347
710     4981.97	1.07358
711     4981.97	1.07368
712     4981.97	1.07379
713     4981.97	1.0739
714     4981.97	1.07401
715     4981.97	1.07411
716     4981.97	1.07422
717     4981.97	1.07433
718     4981.97	1.07444
719     4981.97	1.07454
720     4981.97	1.07465
721     4981.97	1.07476
722     4981.97	1.07487
723     4981.97	1.07497
724     4981.97	1.07508
725     4981.97	1.07519
726     4981.97	1.0753
727     4981.97	1.0754
728     4981.97	1.07551
729     4981.97	1.07562
730     4981.97	1.07573
731     4981.97	1.07583
732     4981.97	1.07594
733     4981.97	1.07605
734     4981.97	1.07616
735     4981.97	1.07626
736     4981.97	1.07637
737     4981.97	1.07648
738     4981.97	1.07659
739     4981.97	1.0767
740     4981.97	1.0768
741     4981.97	1.07691
742     4981.97	1.07702
743     4981.97	1.07713
744     4981.97	1.07723
